GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Anhui-PV-2022,2022,10900.0,1
Beijing-PV-2022,2022,900.0,1
Chongqing-PV-2022,2022,150.0,1
East_Inner_Mongolia-PV-2022,2022,,1
Fujian-PV-2022,2022,4260.0,1
Gansu-PV-2022,2022,860.0,1
Guangdong-PV-2022,2022,8370.0,1
Guangxi-PV-2022,2022,830.0,1
Guizhou-PV-2022,2022,240.0,1
Hainan-PV-2022,2022,460.0,1
Hebei-PV-2022,2022,18610.0,1
Heilongjiang-PV-2022,2022,1080.0,1
Henan-PV-2022,2022,17040.0,1
Hubei-PV-2022,2022,3400.0,1
Hunan-PV-2022,2022,3500.0,1
Jiangsu-PV-2022,2022,15550.0,1
Jiangxi-PV-2022,2022,5070.0,1
Jilin-PV-2022,2022,920.0,1
Liaoning-PV-2022,2022,2190.0,1
Ningxia-PV-2022,2022,920.0,1
Qinghai-PV-2022,2022,160.0,1
Shaanxi-PV-2022,2022,3230.0,1
Shandong-PV-2022,2022,30200.0,1
Shanghai-PV-2022,2022,1710.0,1
Shanxi-PV-2022,2022,4390.0,1
Sichuan-PV-2022,2022,330.0,1
Tianjin-PV-2022,2022,990.0,1
Tibet-PV-2022,2022,20.0,1
West_Inner_Mongolia-PV-2022,2022,1210.0,1
Xinjiang-PV-2022,2022,270.0,1
Yunnan-PV-2022,2022,600.0,1
Zhejiang-PV-2022,2022,19260.0,1
Anhui-Nuclear-2022,2022,0.0,0
Beijing-Nuclear-2022,2022,0.0,0
Chongqing-Nuclear-2022,2022,0.0,0
East_Inner_Mongolia-Nuclear-2022,2022,,0
Fujian-Nuclear-2022,2022,11010.0,0
Gansu-Nuclear-2022,2022,0.0,0
Guangdong-Nuclear-2022,2022,16140.0,0
Guangxi-Nuclear-2022,2022,3360.0,0
Guizhou-Nuclear-2022,2022,0.0,0
Hainan-Nuclear-2022,2022,1300.0,0
Hebei-Nuclear-2022,2022,0.0,0
Heilongjiang-Nuclear-2022,2022,0.0,0
Henan-Nuclear-2022,2022,0.0,0
Hubei-Nuclear-2022,2022,0.0,0
Hunan-Nuclear-2022,2022,0.0,0
Jiangsu-Nuclear-2022,2022,6610.0,0
Jiangxi-Nuclear-2022,2022,0.0,0
Jilin-Nuclear-2022,2022,0.0,0
Liaoning-Nuclear-2022,2022,6680.0,0
Ningxia-Nuclear-2022,2022,0.0,0
Qinghai-Nuclear-2022,2022,0.0,0
Shaanxi-Nuclear-2022,2022,0.0,0
Shandong-Nuclear-2022,2022,2500.0,0
Shanghai-Nuclear-2022,2022,0.0,0
Shanxi-Nuclear-2022,2022,0.0,0
Sichuan-Nuclear-2022,2022,0.0,0
Tianjin-Nuclear-2022,2022,0.0,0
Tibet-Nuclear-2022,2022,0.0,0
West_Inner_Mongolia-Nuclear-2022,2022,,0
Xinjiang-Nuclear-2022,2022,0.0,0
Yunnan-Nuclear-2022,2022,0.0,0
Zhejiang-Nuclear-2022,2022,9130.0,0
